formated_start,formated_end,exercise_name,workout_name
27/10/2022  07:54:39,27/10/2022  07:55:19,,
27/10/2022  07:37:34,27/10/2022  07:38:16,,
25/10/2022  12:15:32,25/10/2022  12:15:37,CK Low Row,Detox GEAR GO - Transition
25/10/2022  12:14:47,25/10/2022  12:15:22,CK Low Row,Detox GEAR GO - Transition
25/10/2022  09:10:54,25/10/2022  09:11:15,,
24/10/2022  14:15:14,24/10/2022  14:15:51,,
24/10/2022  14:12:30,24/10/2022  14:12:37,,
24/10/2022  13:53:58,24/10/2022  13:54:18,,
24/10/2022  13:52:10,24/10/2022  13:52:22,,
24/10/2022  13:50:17,24/10/2022  13:50:43,,
24/10/2022  13:48:44,24/10/2022  13:49:24,,
24/10/2022  13:46:47,24/10/2022  13:48:0,,
24/10/2022  13:47:17,24/10/2022  13:47:48,Squat Press with bar Standing,Detox - Short Workout
24/10/2022  13:46:46,24/10/2022  13:47:17,Netanel Bar Test,Detox - Short Workout
24/10/2022  13:46:15,24/10/2022  13:46:46,Gear go testing,Detox - Short Workout
24/10/2022  13:46:22,24/10/2022  13:46:39,,
24/10/2022  13:45:44,24/10/2022  13:46:15,Ben Hybar Strength,Detox - Short Workout
24/10/2022  13:45:9,24/10/2022  13:45:44,Gear 1 testing,Detox - Short Workout
24/10/2022  13:44:7,24/10/2022  13:44:37,CK Low Row,Detox GEAR GO - Transition
24/10/2022  13:43:3,24/10/2022  13:43:33,Gear go testing,Detox GEAR GO - Transition
24/10/2022  13:42:2,24/10/2022  13:42:33,Gear go testing,Detox GEAR GO - Transition
24/10/2022  13:40:56,24/10/2022  13:41:27,CK Low Row,Detox GEAR GO - Transition
24/10/2022  13:40:16,24/10/2022  13:40:47,CK Low Row,Detox GEAR GO - Transition
24/10/2022  08:57:23,24/10/2022  08:57:24,Rope testing,Tomer Rope testing
24/10/2022  08:57:20,24/10/2022  08:57:21,NO BANDS,Tomer Rope testing
24/10/2022  08:57:3,24/10/2022  08:57:18,Rope testing,Tomer Rope testing
24/10/2022  08:56:5,24/10/2022  08:56:17,,
24/10/2022  08:54:40,24/10/2022  08:55:14,HYROPE testing,Detox HYROPE - Core
24/10/2022  08:07:20,24/10/2022  08:07:36,Split Squat Left - Bar - Standing,IR SHORT WORKOUT
24/10/2022  06:09:14,24/10/2022  06:10:1,,
24/10/2022  06:09:2,24/10/2022  06:09:5,,
23/10/2022  13:46:3,23/10/2022  13:46:43,,
23/10/2022  10:51:33,23/10/2022  10:51:43,adjuster test,IDAN REST TIME TEST
23/10/2022  10:51:9,23/10/2022  10:51:17,Tom core gear,IDAN REST TIME TEST
23/10/2022  08:44:53,23/10/2022  08:45:28,Tom core gear,IDAN REST TIME TEST
23/10/2022  08:44:28,23/10/2022  08:44:37,adjuster test,IDAN REST TIME TEST
23/10/2022  08:44:1,23/10/2022  08:44:10,Tom core gear,IDAN REST TIME TEST
23/10/2022  08:38:41,23/10/2022  08:38:49,Tom core gear,IDAN REST TIME TEST
23/10/2022  08:37:6,23/10/2022  08:37:15,Tom core gear,IDAN REST TIME TEST
23/10/2022  08:31:32,23/10/2022  08:31:41,Tom core gear,IDAN REST TIME TEST
20/10/2022  16:02:30,20/10/2022  16:03:30,Tom core gear,IDAN REST TIME TEST
20/10/2022  16:01:49,20/10/2022  16:02:26,adjuster test,IDAN REST TIME TEST
20/10/2022  16:01:39,20/10/2022  16:01:47,Tom core gear,IDAN REST TIME TEST
20/10/2022  15:59:6,20/10/2022  15:59:15,Tom core gear,IDAN REST TIME TEST
20/10/2022  15:57:40,20/10/2022  15:57:49,Squat Beta,IDAN REST TIME TEST
20/10/2022  15:52:34,20/10/2022  15:53:3,Exercise name,IDAN REST TIME TEST
20/10/2022  15:51:51,20/10/2022  15:52:7,adjuster test,IDAN REST TIME TEST
20/10/2022  15:51:31,20/10/2022  15:51:41,Tom core gear,IDAN REST TIME TEST
20/10/2022  15:51:8,20/10/2022  15:51:18,adjuster test,IDAN REST TIME TEST
20/10/2022  15:50:45,20/10/2022  15:50:55,Tom core gear,IDAN REST TIME TEST
20/10/2022  15:50:20,20/10/2022  15:50:30,adjuster test,IDAN REST TIME TEST
20/10/2022  15:49:58,20/10/2022  15:50:6,Tom core gear,IDAN REST TIME TEST
20/10/2022  15:49:9,20/10/2022  15:49:40,Squat Beta,IDAN REST TIME TEST
20/10/2022  15:45:2,20/10/2022  15:45:10,CK Pec Stretch Right,IDAN REST TIME TEST
20/10/2022  15:44:38,20/10/2022  15:44:46,CK Shoulder Circles,IDAN REST TIME TEST
20/10/2022  15:43:32,20/10/2022  15:43:44,CK Pec Stretch Right,IDAN REST TIME TEST
20/10/2022  15:43:9,20/10/2022  15:43:19,CK Shoulder Circles,IDAN REST TIME TEST
20/10/2022  15:37:30,20/10/2022  15:37:58,Tom core gear,IDAN REST TIME TEST
20/10/2022  08:55:2,20/10/2022  08:55:31,Create new ex,Detox - Warm Up - Copy
20/10/2022  08:54:17,20/10/2022  08:54:45,Tom core gear,Detox - Warm Up - Copy
18/10/2022  15:09:46,18/10/2022  15:09:57,Tom core gear,IDAN REST TIME TEST
18/10/2022  15:09:25,18/10/2022  15:09:39,adjuster test,IDAN REST TIME TEST
18/10/2022  15:09:8,18/10/2022  15:09:12,Tom core gear,IDAN REST TIME TEST
18/10/2022  15:04:45,18/10/2022  15:04:58,adjuster test,IDAN REST TIME TEST
18/10/2022  15:04:35,18/10/2022  15:04:38,Tom core gear,IDAN REST TIME TEST
18/10/2022  15:03:43,18/10/2022  15:03:46,Tom core gear,IDAN REST TIME TEST
18/10/2022  11:53:6,18/10/2022  11:53:31,Tom core gear,Detox - Warm Up - Copy
18/10/2022  11:51:53,18/10/2022  11:52:15,Tom core gear,Detox - Warm Up - Copy
18/10/2022  11:40:57,18/10/2022  11:41:9,rope met test,TEST 210322
18/10/2022  11:40:47,18/10/2022  11:40:57,CK Pec Stretch Right,TEST 210322
18/10/2022  11:40:35,18/10/2022  11:40:47,Squat Beta,TEST 210322
18/10/2022  11:36:35,18/10/2022  11:36:48,Ben Hybar Strength,Detox - Short Workout
18/10/2022  11:36:9,18/10/2022  11:36:34,Gear 1 testing,Detox - Short Workout
18/10/2022  11:26:27,18/10/2022  11:26:29,Tom core gear,Detox - Warm Up - Copy
18/10/2022  11:24:14,18/10/2022  11:24:18,Tom core gear,Detox - Warm Up - Copy
18/10/2022  11:20:23,18/10/2022  11:20:51,Tom core gear,Detox - Warm Up - Copy
18/10/2022  11:18:18,18/10/2022  11:19:4,Gear 1 testing,Detox GEAR 1 - Core
18/10/2022  10:54:0,18/10/2022  10:54:6,Tom core gear,Detox - Warm Up - Copy
18/10/2022  10:53:10,18/10/2022  10:53:14,Tom core gear,Detox - Warm Up - Copy
04/10/2022  06:40:21,04/10/2022  06:40:41,,
04/10/2022  06:39:48,04/10/2022  06:40:3,,
04/10/2022  06:39:30,04/10/2022  06:39:35,,
